koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,status
4.14451656,0,0.004,2.3421,391.8,0.017441,2.87358,1.48,0.0461,89.99,864,132.08,13.767,4768,4.536,0.18,0.779,0.759,CONFIRMED
4.859386384,0,1.259,2.2757,6044.3,0.355227,0.4563,38.33,0.0571,81.27,1114,364.23,8.29,6072,4.47,-0.1,0.988,1.05,FALSE POSITIVE
10.526294577,0,0.644,2.5211,9768,0.095143,3.85261,8.24,0.088,88.69,713,61.16,28.26,5386,4.553,-0.2,0.793,0.82,CONFIRMED
4.583520948,0,0.045,2.7055,3812.1,0.056287,2.30111,5.39,0.0535,89.81,1038,274.98,13.672,5815,4.54,-0.12,0.877,0.973,CONFIRMED
3.76181843,0,0.926,3.5176,510.6,0.025656,0.06927,2.66,0.047,75.62,1121,372.62,3.73,5653,4.472,0.1,0.949,0.974,CONFIRMED
8.20396958,0,0.823,2.9667,1024.4,0.033372,0.65082,3.01,0.0735,86.43,742,71.5,13.23,5015,4.499,0.1,0.826,0.785,CONFIRMED
14.49645186,0,0.97,4.016,647.5,0.033377,0.0859,3.01,0.1074,84.34,613,33.48,9.85,5015,4.499,0.1,0.826,0.785,CONFIRMED
6.54626149,0,0.644,2.75,655.9,0.024555,1.35056,2.19,0.0668,87.46,810,101.78,14.52,5251,4.581,0.21,0.817,0.926,CANDIDATE
12.71809866,0,0.427,3.0957,1149.4,0.030871,2.98907,2.31,0.0934,89.17,562,23.6,29.5,4702,4.592,-0.22,0.686,0.67,CONFIRMED
36.06588163,0,0.26,4.3246,1563.8,0.035281,3.78452,2.64,0.1871,89.77,397,5.88,63.84,4702,4.592,-0.22,0.686,0.67,CONFIRMED
4.190425659,0,0.458,2.8589,2877.4,0.050076,1.28404,6.21,0.0535,87.52,1234,547.9,10.6,6073,4.392,0.2,1.135,1.163,CONFIRMED
3.709870784,0,0.023,3.0694,2020.3,0.040686,1.22579,4.35,0.0471,89.86,1151,415.1,9.6255,5727,4.463,0.14,0.978,1.013,CONFIRMED
16.3297527,0,0.791,6.271,1187.5,0.034822,0.16717,3.75,0.1255,86.59,727,66.08,13.31,5878,4.444,-0.06,0.987,0.989,CONFIRMED
27.807566216,0,0.782,4.21587,25391,0.161479,1.98053,13.84,0.1711,88.96,554,22.24,43.26,5862,4.584,-0.52,0.785,0.865,CONFIRMED
80.8723469,0,0.527,11.195,3604.6,0.056129,0.37264,7.59,0.3577,89.4,452,9.88,50.5,5510,4.222,0.16,1.238,0.932,CONFIRMED
